Territory,Gender,Age,Scholarity,Year,N_of_people
Italia,male,>15,"elementary school certificate, no educational qualifications",2011,4440.458
Italia,male,>15,"elementary school certificate, no educational qualifications",2012,4295.392
Italia,male,>15,"elementary school certificate, no educational qualifications",2013,4144.828
Italia,male,>15,"elementary school certificate, no educational qualifications",2014,3947.243
Italia,male,>15,"elementary school certificate, no educational qualifications",2015,3792.895
Italia,male,>15,"elementary school certificate, no educational qualifications",2016,3616.806
Italia,male,>15,"elementary school certificate, no educational qualifications",2017,3475.376
Italia,male,>15,"elementary school certificate, no educational qualifications",2018,3321.45
Italia,male,>15,"elementary school certificate, no educational qualifications",2019,3165.895
Italia,male,>15,"elementary school certificate, no educational qualifications",2020,3094.241
Italia,male,>15,middle school certificate,2011,8715.732
Italia,male,>15,middle school certificate,2012,8704.237
Italia,male,>15,middle school certificate,2013,8743.657
Italia,male,>15,middle school certificate,2014,8785.497
Italia,male,>15,middle school certificate,2015,8897.824
Italia,male,>15,middle school certificate,2016,8979.875
Italia,male,>15,middle school certificate,2017,8930.103
Italia,male,>15,middle school certificate,2018,8875.451
Italia,male,>15,middle school certificate,2019,8930.636
Italia,male,>15,middle school certificate,2020,8853.371
Italia,male,>15,diploma 2-3 years (professional qualification),2011,1451.68
Italia,male,>15,diploma 2-3 years (professional qualification),2012,1516.476
Italia,male,>15,diploma 2-3 years (professional qualification),2013,1544.601
Italia,male,>15,diploma 2-3 years (professional qualification),2014,1510.841
Italia,male,>15,diploma 2-3 years (professional qualification),2015,1427.913
Italia,male,>15,diploma 2-3 years (professional qualification),2016,1498.67
Italia,male,>15,diploma 2-3 years (professional qualification),2017,1493.143
Italia,male,>15,diploma 2-3 years (professional qualification),2018,1466.689
Italia,male,>15,diploma 2-3 years (professional qualification),2019,1470.953
Italia,male,>15,diploma 2-3 years (professional qualification),2020,1480.715
Italia,male,>15,diploma 4-5 years (maturity),2011,7346.295
Italia,male,>15,diploma 4-5 years (maturity),2012,7439.28
Italia,male,>15,diploma 4-5 years (maturity),2013,7560.341
Italia,male,>15,diploma 4-5 years (maturity),2014,7790.163
Italia,male,>15,diploma 4-5 years (maturity),2015,7885.989
Italia,male,>15,diploma 4-5 years (maturity),2016,7888.72
Italia,male,>15,diploma 4-5 years (maturity),2017,7970.938
Italia,male,>15,diploma 4-5 years (maturity),2018,8055.891
Italia,male,>15,diploma 4-5 years (maturity),2019,8095.788
Italia,male,>15,diploma 4-5 years (maturity),2020,8174.535
Italia,male,>15,undergraduate and postgraduate,2011,2612.628
Italia,male,>15,undergraduate and postgraduate,2012,2736.143
Italia,male,>15,undergraduate and postgraduate,2013,2881.638
Italia,male,>15,undergraduate and postgraduate,2014,2985.213
Italia,male,>15,undergraduate and postgraduate,2015,3052.687
Italia,male,>15,undergraduate and postgraduate,2016,3079.4
Italia,male,>15,undergraduate and postgraduate,2017,3210.195
Italia,male,>15,undergraduate and postgraduate,2018,3366.68
Italia,male,>15,undergraduate and postgraduate,2019,3415.213
Italia,male,>15,undergraduate and postgraduate,2020,3480.417
Italia,female,>15,"elementary school certificate, no educational qualifications",2011,7121.05
Italia,female,>15,"elementary school certificate, no educational qualifications",2012,6911.297
Italia,female,>15,"elementary school certificate, no educational qualifications",2013,6743.864
Italia,female,>15,"elementary school certificate, no educational qualifications",2014,6430.613
Italia,female,>15,"elementary school certificate, no educational qualifications",2015,6223.036
Italia,female,>15,"elementary school certificate, no educational qualifications",2016,6009.704
Italia,female,>15,"elementary school certificate, no educational qualifications",2017,5762.542
Italia,female,>15,"elementary school certificate, no educational qualifications",2018,5500.125
Italia,female,>15,"elementary school certificate, no educational qualifications",2019,5259.467
