Territory,Gender,Age,Scholarity,Year,Rate_unemployed
Italy,all_gender,Y15-64,all_levels_education,2011,8.631399
Italy,all_gender,Y15-64,all_levels_education,2012,11.017389
Italy,all_gender,Y15-64,all_levels_education,2013,12.53561
Italy,all_gender,Y15-64,all_levels_education,2014,13.035566
Italy,all_gender,Y15-64,all_levels_education,2015,12.173498
Italy,all_gender,Y15-64,all_levels_education,2016,11.915011
Italy,all_gender,Y15-64,all_levels_education,2017,11.439305
Italy,all_gender,Y15-64,all_levels_education,2018,10.769732
Italy,all_gender,Y15-64,all_levels_education,2019,10.113914
Italy,all_gender,Y15-64,all_levels_education,2020,9.530288
Italy,all_gender,Y15-64,all_levels_education,2021,9.704693
Nord-ovest,all_gender,Y15-64,all_levels_education,2011,6.488042
Nord-ovest,all_gender,Y15-64,all_levels_education,2012,8.241845
Nord-ovest,all_gender,Y15-64,all_levels_education,2013,9.168357
Nord-ovest,all_gender,Y15-64,all_levels_education,2014,9.530764
Nord-ovest,all_gender,Y15-64,all_levels_education,2015,8.842477
Nord-ovest,all_gender,Y15-64,all_levels_education,2016,8.283608
Nord-ovest,all_gender,Y15-64,all_levels_education,2017,7.543003
Nord-ovest,all_gender,Y15-64,all_levels_education,2018,7.073587
Nord-ovest,all_gender,Y15-64,all_levels_education,2019,6.611319
Nord-ovest,all_gender,Y15-64,all_levels_education,2020,6.240284
Nord-ovest,all_gender,Y15-64,all_levels_education,2021,6.602339
Piemonte,all_gender,Y15-64,all_levels_education,2018,8.362247
Piemonte,all_gender,Y15-64,all_levels_education,2019,7.786975
Piemonte,all_gender,Y15-64,all_levels_education,2020,7.80823
Piemonte,all_gender,Y15-64,all_levels_education,2021,7.473577
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,all_levels_education,2018,7.19553
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,all_levels_education,2019,6.58275
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,all_levels_education,2020,5.857042
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,all_levels_education,2021,7.284268
